Item,SAP TN,SAP PL,DCC Type,Description,2024,2025,2026,2027,2028,2029,2030
119,251769,251777,60° & 90°B,6 Wire Jacket 2xDCC Modul 85F263_, -   ,"1,000","2,000","3,000","2,500","2,000","1,000"
120,251770,251778,60° & 90°B,6 Wire Jacket 2xDCC Modul 85F263A, -   ,"1,000","2,000","3,000","2,500","2,000","1,000"
121,236380,,60° & 180°,"4 Wire Jacket 2xDCC Modul 85F265_,A", -   ,"2,000","4,000","6,000","5,000","4,000","2,000"
122,236381,,60° & 180°,4 Wire Jacket 2xDCC Modul 85F266_, -   ,"2,000","4,000","6,000","5,000","4,000","2,000"
123,236415,,90°B,"Twisted Wires 1xDCC Modul 85F265_,A", -   ,"2,000","4,000","6,000","5,000","4,000","2,000"
124,236416,,90°B,Twisted Wires 1xDCC Modul 85F266, -   ,"2,000","4,000","6,000","5,000","4,000","2,000"
125,236375,,90°B,Twisted Wires 1xDCC Modul 85F265_, -   ,"1,000","2,000","3,000","2,500","2,000","1,000"
126,236376,,90°B,"Twisted Wires 1xDCC Modul 85F265A,266", -   ,"3,000","6,000","9,000","7,500","6,000","3,000"
127,243716,238055,60°,4 Wire Jacket 1xDCC Modul 4MN251, -   , -   ,"48,129","81,404","80,828","74,966","69,941"
128,243717,238056,60°,2 Wire Jacket 1xDCC Modul 4MN252, -   , -   ,"48,129","81,404","80,828","74,966","69,941"
129,243718,238057,90°B,Twisted Wires 1xDCC Modul 4MN253, -   , -   ,"48,129","81,404","80,828","74,966","69,941"
130,243719,238058,90°B,Twisted Wires 1xDCC Modul 4MN254, -   , -   ,"48,129","81,404","80,828","74,966","69,941"
131,243910,211180,90°B,4 Wire Jacket 1xDCC Modul 7T0903S,"9,500","7,371","7,218","6,330","5,647","5,575","5,346"
132,243910,221753,90°B,6 Wire Jacket 1xDCC Modul 7T0903T,"9,800","7,371","7,218","6,330","5,647","5,575","5,346"
133,243908,217492,180°,Twisted Wires 1xDCC Modul 7T0902N,"9,500","7,371","7,218","6,330","5,647","5,575","5,346"
134,243909,217493,180°,Twisted Wires 1xDCC Modul 7T0902Q,"9,600","7,371","7,218","6,330","5,647","5,575","5,346"
135,251144,251139,90°B,4 Wire Jacket 1xDCC Modul 2F0903A,"9,700", -   ,"24,097","72,290","90,029","72,290","72,290"
136,251148,251143,90°B,6 Wire Jacket 1xDCC Modul 2F0903C,"9,700", -   ,"24,097","72,290","92,307","72,290","72,290"
137,251146,251141,180°,2 Wire Jacket 1xDCC Modul 2F0903E,"19,300", -   ,"48,193","1,44,580","1,80,058","1,44,580","1,44,580"
138,250059,250050,180°,Twisted Wires 1xDCC Modul 2F0902D,"9,700", -   ,"1,58,210","4,74,629","5,84,393","4,74,629","4,74,629"
139,250060,250051,180°,Twisted Wires 1xDCC Modul 2F0902F,"9,700", -   ,"1,58,210","4,74,629","5,84,393","4,74,629","4,74,629"
140,250061,250052,90°B,"Twisted Wires 1xDCC Modul 2F0902E,G","19,400", -   ,"48,193","1,44,580","1,80,058","1,44,580","1,44,580"
141,250062,250053,180°,Twisted Wires 1xDCC Modul 2F0902E,"9,700", -   ,"24,097","72,290","90,029","72,290","72,290"
142,250065,250054,180°,Twisted Wires 1xDCC Modul 2F0902G,"9,700", -   ,"24,097","72,290","90,029","72,290","72,290"
143,249935,205123,90°B,4 Wire Jacket 1xDCC Modul 5WA903A,"1,65,100","1,31,184","1,54,014","1,46,662","1,30,061","1,21,135","1,08,678"
144,249937,205031,90°B,6 Wire Jacket 1xDCC Modul 5WA903E,"1,56,500","1,35,043","1,58,544","1,50,975","1,33,887","1,24,698","1,11,875"
145,243918,228597,2*90°B,"6 Wire Jacket 2xDCC Modul 5QS903_,3WA903B","3,55,300","2,92,267","3,42,336","3,30,098","3,11,021","2,91,905","2,58,058"
146,243919,234757,2*90°B,8 Wire Jacket 2xDCC Modul 3WA903F,"57,300","57,840","58,852","59,071","56,196","54,169","46,990"
147,243920,236737,2*90°B,8 Wire Jacket 2xDCC Modul 5QS903F,"2,99,100","2,34,427","2,83,484","2,71,027","2,54,825","2,37,736","2,11,068"
148,250030,240224,2*90°B,8 Wire Jacket 2xDCC Modul 5QS903H,"2,900","4,884","5,906","5,646","5,309","4,953","4,397"
149,227630,191279,90°B,4 Wire Jacket 1xDCC Modul 5TA903M,"4,100","3,126", -   , -   , -   , -   , -   
150,227631,191280,90°B,6 Wire Jacket 1xDCC Modul 5TA903AF,"3,700","3,126", -   , -   , -   , -   , -   
151,227627,169953,90°B,4 Wire Jacket 1xDCC Modul 5G0903AL,"39,100","26,239","9,572","5,562", -   , -   , -   
152,227628,169954,90°B,6 Wire Jacket 1xDCC Modul 5G0903AM,"30,800","26,239","9,572","5,562", -   , -   , -   
153,243921,227995,90°B,Twisted Wires DCC1 Modul 3WA902P,"33,100","31,812","32,369","32,489","30,908","29,793","25,845"
154,243922,227996,90°B,Twisted Wires DCC1 Modul 3WA902R,"33,200","31,812","32,369","32,489","30,908","29,793","25,845"
155,243923,227997,90°B,Twisted Wires DCC1 Modul 3WA902Q,"28,900","28,920","29,426","29,536","28,098","27,085","23,495"
156,243924,227998,90°B,Twisted Wires DCC1 Modul 3WA902S,"29,700","28,920","29,426","29,536","28,098","27,085","23,495"
157,243925,227991,90°B,Twisted Wires DCC2 Modul 3WA902P,"33,100","31,812","32,369","32,489","30,908","29,793","25,845"
158,243926,227992,90°B,Twisted Wires DCC2 Modul 3WA902R,"33,200","31,812","32,369","32,489","30,908","29,793","25,845"
159,243927,227993,90°B,Twisted Wires DCC2 Modul 3WA902Q,"28,900","28,920","29,426","29,536","28,098","27,085","23,495"
160,243928,227994,90°B,Twisted Wires DCC2 Modul 3WA902S,"29,700","28,920","29,426","29,536","28,098","27,085","23,495"
161,243929,228003,90°B,Twisted Wires DCC1 Modul 5QS902S,"1,40,200","1,12,329","1,35,836","1,29,867","1,22,104","1,13,915","1,01,137"
162,243931,228004,90°B,Twisted Wires DCC1 Modul 5QS902AA,"1,37,400","1,12,329","1,35,836","1,29,867","1,22,104","1,13,915","1,01,137"
163,243932,228006,90°B,"Twisted Wires DCC1 Modul 5QS902AC,AE","2,78,100","2,24,659","2,71,672","2,59,734","2,44,207","2,27,830","2,02,273"
164,243933,227999,90°B,Twisted Wires DCC2 Modul 5QS902S,"1,40,200","1,12,329","1,35,836","1,29,867","1,22,104","1,13,915","1,01,137"
165,243935,228000,90°B,Twisted Wires DCC2 Modul 5QS902AA,"1,37,400","1,12,329","1,35,836","1,29,867","1,22,104","1,13,915","1,01,137"
166,243936,228002,90°B,"Twisted Wires DCC2 Modul 5QS902AC,AE","2,78,100","2,24,659","2,71,672","2,59,734","2,44,207","2,27,830","2,02,273"
167,243939,230286,90°B,Twisted Wires 1xDCC Modul 5WA902 AJ,"24,600","25,464","23,856","22,132","17,289","15,990","14,393"
168,243940,230287,90°B,Twisted Wires 1xDCC Modul 5WA902 AK,"61,700","50,928","47,712","44,264","34,579","31,981","28,786"
169,243941,230288,90°B,Twisted Wires 1xDCC Modul 5WA902 AL,"48,900","50,928","47,712","44,264","34,579","31,981","28,786"
170,243942,230289,90°B,Twisted Wires 1xDCC Modul 5WA902 AQ,"25,400","25,464","23,856","22,132","17,289","15,990","14,393"
171,243944,230291,90°B,Twisted Wires 1xDCC Modul 5WA902 AS,"65,800","50,928","47,712","44,264","34,579","31,981","28,786"
172,243945,232329,90°B,"Twisted Wires 1xDCC Modul 5WA902 BS,CC","23,900","26,873","31,862","29,913","24,840","23,172","20,774"
173,243946,232330,90°B,"Twisted Wires 1xDCC Modul 5WA902 AR,CA,CE","77,000","77,800","79,574","74,176","59,418","55,153","49,560"
174,252337,223717,90°B,Twisted Wires 1xDCC Modul 5G0902AJ,"2,500","1,725",242, -   , -   , -   , -   
175,252338,223724,90°B,Twisted Wires 1xDCC Modul 5G0902AM,"2,500","1,725",242, -   , -   , -   , -   
176,252334,223720,90°B,"Twisted Wires 1xDCC Modul 5G0902AL,2GA902L","9,800","6,861","1,939",973,944,898,798
177,252335,223727,90°B,"Twisted Wires 1xDCC Modul 5G0902AP,2GA902N","9,800","6,861","1,939",973,944,898,798
178,252340,223725,90°B,"Twisted Wires 1xDCC Modul 5NA902AH,AJ,AL","7,400","7,400",,,,,
179,252402,223726,90°B,"Twisted Wires 1xDCC Modul 5G0902AN,5GD902L,5TAAC","2,000","2,000",,,,,
,,,,"DCC Modul 5NA902AD,AE",,,,,,,
,,,,5GD 927 902 J,,,,,,,
,,,,5GD 927 902 L,,,,,,,
