,,,Process,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,,
7,249317,6 Wire Jacket 3xDCC Modul 9Y4256,60° & 2*90°B,7.13,,,,,,,,,,,,,,,,,,,,8.76,,,,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.58,0.98
8,249078,"Twisted Wires 1xDCC Modul 9Y4279 AA,AB,AC",30°,7.22,,,,,,,,,,,,,,,,,,,,,,,12.41,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.32,1.04
9,249079,"Twisted Wires 1xDCC Modul 9Y4279 AA,AB,AC",90°B,7.15,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.96,0.92
10,249080,"Twisted Wires 1xDCC Modul 9Y4279 AD,AE,AF",90°,7.18,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,8.09,,,,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.06,1
11,249081,"Twisted Wires 1xDCC Modul 9Y4279 AD,AE,AF",60°,7.3,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.2,0.95
12,249082,"Twisted Wires 1xDCC Modul 9Y4279 AA,AD",60°,7.29,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.48,0.89
13,249083,"Twisted Wires 1xDCC Modul 9Y4279 AB,AC,AE,AF",60°,7.26,,,,,,,,,,,,,,,,,,,,,,,12.41,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.36,1.04
14,249084,"Twisted Wires 1xDCC Modul 9Y4279 AA,AD",180°,7.19,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.09,0.95
15,249085,"Twisted Wires 1xDCC Modul 9Y4279 AB,AC,AE,AF",180°,7.22,,,,,,,,,,,,,,,,,,,,,,,12.41,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.32,1.04
16,249086,"Twisted Wires 1xDCC Modul 9Y4286 M,N",30°,7.13,,,,,,,,,,,,,,,,,,,,8.76,,,,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.58,0.98
17,249087,"Twisted Wires 1xDCC Modul 9Y4286 M,N",90°B,7.15,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.96,0.92
18,249088,"Twisted Wires 1xDCC Modul 9Y4286 P,Q",60°,7.18,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,8.09,,,,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.06,1
19,249089,"Twisted Wires 1xDCC Modul 9Y4286 P,Q",90°,,,,6.95,,,,,,8.12,,,,,,,,,,5.93,,,,12.41,,,,,,20,,,,,,,,,,,,,16.29,,,,,,,,,,,,,18.72,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,1.8
20,249090,"Twisted Wires 1xDCC Modul 9Y4286 N,Q",60°,,,,,6.95,,,,,,12,,,5.44,,,,,,5.93,,,,12.41,,,,,,20,,,,,,,,,,,,,16.29,,,,,,,,,,,,,18.72,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.32,1.96
21,249091,"Twisted Wires 1xDCC Modul 9Y4286 M,P",60°,,,,,6.92,,,,,,12,,,5.44,,,,,,5.93,17.52,,,,,,,,,30,,,,,,,,,16.29,,,,,16.29,,,,,,,,,18.72,,,,,,,,29.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.48,2.64
22,249092,"Twisted Wires 1xDCC Modul 9Y4286 M,P",180°,,,,,6.95,,,,,,12,,,5.44,,,,,,5.93,,,,12.41,,,,,,20,,,,,,,,,,,,16.29,,,,,,,,,,,18.72,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.32,1.96
23,249093,"Twisted Wires 1xDCC Modul 9Y4286 N,Q",180°,,,,,6.92,,,,,,12,,,5.44,,,,,,5.93,17.52,,,,,,,,,30,,,,,,,,,16.29,,,,,16.29,,,,,,,,,,,,18.72,,,,,29.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.48,2.64
24,255164,"Twisted Wires 1xDCC Modul 512 AC, 513 AC",180°,6.69,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,8.09,,,,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.57,1.19
25,255165,"Single Wires 1xDCC Modul 512 AC,BC",180°,,3.22,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.03,0.72
26,255166,"Twisted Wires 1xDCC Modul 512, 513",180°,6.31,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.12,0.9
27,243866,"Twisted Wires 1xDCC Modul 510 AB,BB",90°,6.19,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.09,0.93
28,243867,"Twisted Wires 1xDCC Modul 511 AB,BB",90°,6.19,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.09,0.93
